1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;;;;;
Schluessel;Straftat;Gemeindeschluessel;Stadt-/Landkreis;Kreisart;Anzahl erfasste Faelle;Haeufigkeitszahl;erfasste Faelle, davon Versuche - Anzahl;erfasste Faelle, davon Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Auffklaerung - Anzahl Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in % an der Gesamtzahl;;;;;
------;Straftaten insgesamt;5113;Essen;KfS;43,545;7,472;3,191;7.3;55;32;23,051;52.9;16,778;12,740;4,038;6,410;38.2;0;;5113;Essen;582,760
------;Straftaten insgesamt;5114;Krefeld;KfS;20,164;8,867;1,470;7.3;15;11;11,123;55.2;7,993;5,895;2,098;2,749;34.4;0;;5114;Krefeld;227,417
------;Straftaten insgesamt;5116;Mönchengladbach;KfS;21,552;8,256;1,730;8;30;10;11,822;54.9;8,429;6,279;2,150;3,013;35.7;0;;5116;Mönchengladbach;261,034
------;Straftaten insgesamt;5117;Mülheim an der Ruhr;KfS;9,018;5,285;771;8.5;14;8;4,717;52.3;3,812;2,896;916;1,333;35;0;;5117;Mülheim an der Ruhr;170,632
------;Straftaten insgesamt;5119;Oberhausen;KfS;15,552;7,379;930;6;13;8;8,992;57.8;7,130;5,273;1,857;2,361;33.1;0;;5119;Oberhausen;210,764
------;Straftaten insgesamt;5120;Remscheid;KfS;6,275;5,636;432;6.9;4;7;3,666;58.4;2,759;2,006;753;839;30.4;0;;5120;Remscheid;111,338
------;Straftaten insgesamt;5122;Solingen;KfS;9,449;5,934;603;6.4;11;6;4,616;48.9;3,804;2,865;939;1,195;31.4;0;;5122;Solingen;159,245
------;Straftaten insgesamt;5124;Wuppertal;KfS;28,619;8,059;1,933;6.8;41;22;15,032;52.5;11,684;8,702;2,982;4,335;37.1;0;;5124;Wuppertal;355,100
------;Straftaten insgesamt;5154;Kleve;K;18,372;5,880;1,435;7.8;16;15;9,710;52.9;8,099;6,500;1,599;3,365;41.5;0;;5154;Kleve;312,465
------;Straftaten insgesamt;5158;Mettmann;K;27,520;5,668;2,266;8.2;35;30;14,731;53.5;10,680;8,105;2,575;3,209;30;0;;5158;Mettmann;485,570
------;Straftaten insgesamt;5162;Rhein-Kreis Neuss;K;23,900;5,291;1,827;7.6;37;34;13,074;54.7;10,153;7,764;2,389;2,988;29.4;0;;5162;Rhein-Kreis Neuss;451,730
------;Straftaten insgesamt;5166;Viersen;K;16,867;5,644;1,373;8.1;31;32;8,826;52.3;7,653;5,993;1,660;2,463;32.2;0;;5166;Viersen;298,863
------;Straftaten insgesamt;5170;Wesel;K;23,955;5,208;1,940;8.1;44;33;12,002;50.1;9,564;7,240;2,324;2,253;23.6;0;;5170;Wesel;459,976
