1;2;3;4;5;6;7;8;9;10;11;12;
300800;Einfacher†Diebstahl†von†Antiquitaeten,†Kunst-†und†sakralen†Gegenstaenden;4;Bremen;9;1.3;0;0;1;11.1;1;0;0
300800;Einfacher†Diebstahl†von†Antiquitaeten,†Kunst-†und†sakralen†Gegenstaenden;2;Hamburg;8;0.4;0;0;2;25;5;0;0
300800;Einfacher†Diebstahl†von†Antiquitaeten,†Kunst-†und†sakralen†Gegenstaenden;6;Hessen;13;0.2;0;0;1;7.7;1;0;0
300800;Einfacher†Diebstahl†von†Antiquitaeten,†Kunst-†und†sakralen†Gegenstaenden;13;Mecklenburg-Vorpommern;10;0.6;0;0;1;10;2;2;100
300800;Einfacher†Diebstahl†von†Antiquitaeten,†Kunst-†und†sakralen†Gegenstaenden;3;Niedersachsen;37;0.5;0;0;11;29.7;12;1;8.3
300800;Einfacher†Diebstahl†von†Antiquitaeten,†Kunst-†und†sakralen†Gegenstaenden;5;Nordrhein-Westfalen;143;0.8;7;4.9;17;11.9;20;3;15
300800;Einfacher†Diebstahl†von†Antiquitaeten,†Kunst-†und†sakralen†Gegenstaenden;7;Rheinland-Pfalz;47;1.2;2;4.3;4;8.5;5;2;40
300800;Einfacher†Diebstahl†von†Antiquitaeten,†Kunst-†und†sakralen†Gegenstaenden;10;Saarland;11;1.1;0;0;1;9.1;1;0;0
300800;Einfacher†Diebstahl†von†Antiquitaeten,†Kunst-†und†sakralen†Gegenstaenden;14;Sachsen;20;0.5;0;0;4;20;7;2;28.6
300800;Einfacher†Diebstahl†von†Antiquitaeten,†Kunst-†und†sakralen†Gegenstaenden;15;Sachsen-Anhalt;9;0.4;0;0;3;33.3;3;0;0
300800;Einfacher†Diebstahl†von†Antiquitaeten,†Kunst-†und†sakralen†Gegenstaenden;1;Schleswig-Holstein;18;0.6;0;0;4;22.2;6;3;50
300800;Einfacher†Diebstahl†von†Antiquitaeten,†Kunst-†und†sakralen†Gegenstaenden;16;Thueringen;4;0.2;0;0;1;25;2;0;0
300800;Einfacher†Diebstahl†von†Antiquitaeten,†Kunst-†und†sakralen†Gegenstaenden;70;Bund echte Zaehlung der Tatverdaechtigen;587;0.7;15;2.6;94;16;117;24;20.5
305*00;Einfacher†Diebstahl†in/aus†Banken,†Sparkassen,†Postfilialen†und†-agenturen†und†dgl.;8;Baden-Wuerttemberg;231;2.1;3;1.3;102;44.2;105;27;25.7
305*00;Einfacher†Diebstahl†in/aus†Banken,†Sparkassen,†Postfilialen†und†-agenturen†und†dgl.;9;Bayern;614;4.8;17;2.8;290;47.2;204;57;27.9
305*00;Einfacher†Diebstahl†in/aus†Banken,†Sparkassen,†Postfilialen†und†-agenturen†und†dgl.;11;Berlin;202;5.7;1;0.5;25;12.4;25;3;12
305*00;Einfacher†Diebstahl†in/aus†Banken,†Sparkassen,†Postfilialen†und†-agenturen†und†dgl.;12;Brandenburg;40;1.6;1;2.5;16;40;17;1;5.9
305*00;Einfacher†Diebstahl†in/aus†Banken,†Sparkassen,†Postfilialen†und†-agenturen†und†dgl.;4;Bremen;76;11.3;0;0;10;13.2;11;1;9.1
305*00;Einfacher†Diebstahl†in/aus†Banken,†Sparkassen,†Postfilialen†und†-agenturen†und†dgl.;2;Hamburg;150;8.4;4;2.7;29;19.3;29;6;20.7
305*00;Einfacher†Diebstahl†in/aus†Banken,†Sparkassen,†Postfilialen†und†-agenturen†und†dgl.;6;Hessen;245;4;5;2;104;42.4;113;44;38.9
305*00;Einfacher†Diebstahl†in/aus†Banken,†Sparkassen,†Postfilialen†und†-agenturen†und†dgl.;13;Mecklenburg-Vorpommern;32;2;0;0;12;37.5;12;0;0
305*00;Einfacher†Diebstahl†in/aus†Banken,†Sparkassen,†Postfilialen†und†-agenturen†und†dgl.;3;Niedersachsen;268;3.4;8;3;127;47.4;138;25;18.1
305*00;Einfacher†Diebstahl†in/aus†Banken,†Sparkassen,†Postfilialen†und†-agenturen†und†dgl.;5;Nordrhein-Westfalen;470;2.6;21;4.5;136;28.9;138;39;28.3
305*00;Einfacher†Diebstahl†in/aus†Banken,†Sparkassen,†Postfilialen†und†-agenturen†und†dgl.;7;Rheinland-Pfalz;178;4.4;0;0;73;41;61;13;21.3
305*00;Einfacher†Diebstahl†in/aus†Banken,†Sparkassen,†Postfilialen†und†-agenturen†und†dgl.;10;Saarland;38;3.8;1;2.6;7;18.4;8;2;25
305*00;Einfacher†Diebstahl†in/aus†Banken,†Sparkassen,†Postfilialen†und†-agenturen†und†dgl.;14;Sachsen;132;3.2;2;1.5;45;34.1;45;2;4.4
