1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Schluessel;Straftat;erfasste Faelle;%-Anteil an allen Faellen;von Spalte 3 Versuche Anzahl;von Spalte 3 Versuche in %;Tatortverteilung bis unter 20000 Einwohner;Tatortverteilung 20000 bis unter 100000 Einwohner;Tatortverteilung 100000 bis unter 500000 Einwohner;Tatortverteilung 500000 und mehr Einwohner;Tatortverteilung unbekannt;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufklaerung - Faelle;Aufklaerung in % (Aufklaerungsquote) ;Tatverdaechtige insgesamt;Tatverdaechtige maennlich;Tatverdaechtige weiblich;Anzahl nichtdeutsche Tatverdaechtige;Anteil nichtdeutsche Tatverdaechtige an Gesamtzahl in %
731201;Allgemeiner Verstoß mit Crack;1898;0;7;0.4;10;16;6;1865;1;0;0;1861;98;1107;873;234;461;41.6
731202;Allgemeiner Verstoß mit Kokain;8546;0.1;127;1.5;1373;2088;1657;3383;45;0;0;7921;93;7786;6955;831;2566;33
731300;Allgemeiner Verstoß mit LSD;402;0;6;1.5;145;105;91;60;1;0;0;389;97;404;334;70;28;6.9
731600;Allgemeiner Verstoß mit Amphetamin und seinen Derivaten in Pulver- oder flüssiger sowie in Tabletten- bzw. Kapselform (Ecstasy);33193;0.5;317;1;9379;10392;8368;4954;100;0;0;31559;95;30081;25095;4986;3642;12.1
731601;Allgemeiner Verstoß mit Amphetamin und seinen Derivaten in Pulver- oder flüssiger Form;26550;0.4;218;0.8;7437;8393;6749;3890;81;0;0;25223;95;24072;20182;3890;2906;12.1
731602;Allgemeiner Verstoß mit Amphetamin und seinen Derivaten in Tabletten- bzw. Kapselform (Ecstasy);6643;0.1;99;1.5;1942;1999;1619;1064;19;0;0;6336;95;6392;5240;1152;768;12
731700;Allgemeiner Verstoß mit Methamphetamin in Pulver-, kristalliner oder flüssiger sowie in Tabletten- bzw. Kapselform;11425;0.2;108;0.9;3667;4547;1770;1394;47;0;0;11021;97;9572;7562;2010;847;8.8
731701;Allgemeiner Verstoß mit Methamphetamin in Pulver- oder flüssiger Form;1115;0;7;0.6;356;422;212;120;5;0;0;1048;94;1048;880;168;134;12.8
731702;Allgemeiner Verstoß mit Methamphetamin in kristalliner Form (Crystal);9880;0.2;76;0.8;3217;4014;1466;1159;24;0;0;9573;97;8263;6470;1793;659;8
731703;Allgemeiner Verstoß mit Methamphetamin in Tabletten- bzw. Kapselform;430;0;25;5.8;94;111;92;115;18;0;0;400;93;410;339;71;60;14.6
731800;Allgemeiner Verstoß mit Cannabis und Zubereitungen;132745;2.1;1325;1;31203;37735;27286;36089;432;0;0;125068;94;118045;104875;13170;26736;22.6
731900;Allgemeiner Verstoß mit sonstigen Betäubungsmitteln;17358;0.3;674;3.9;4880;5017;4263;3136;62;0;0;16272;94;15662;13253;2409;3121;19.9
732000;Unerlaubter Handel mit und Schmuggel von Rauschgiften gemäß § 29 BtMG;48168;0.8;1528;3.2;13501;16006;8170;10197;294;0;0;44421;92;43942;39412;4530;12797;29.1
732100;Unerlauber Handel mit und Schmuggel von Heroin;2100;0;82;3.9;143;482;573;892;10;0;0;1941;92;1882;1601;281;633;33.6
732110;Unerlaubter Handel mit Heroin;2003;0;80;4;120;425;564;887;7;0;0;1847;92;1780;1514;266;593;33.3
732120;Schmuggel von Heroin;97;0;2;2.1;23;57;9;5;3;0;0;94;97;110;94;16;44;40
732200;Unerlaubter Handel und Schmuggel mit/von Kokain einschl. Crack;2480;0;132;5.3;350;536;415;1165;14;0;0;2264;91;2445;2238;207;1218;49.8
